RegisterationNumber,Suburb,City,Lat,Long,Name,TotalExpenditure
  CC48244,  Saint Marys Bay,  Auckland,-36.843942,174.747478,  New Zealand Essential Tremor Support Group Incorporated,"  12881,"
  CC48147,  Takapuna,  Auckland,-36.786134,174.772268,  Vernon Tews Charitable Trust,"  552,"
  CC48930,   ,  Whangamata,-37.209328,175.871054,  Wildman Trust,"  8543,"
  CC48246,  Christchurch Central,  Christchurch,-43.530658,172.633547,  Pacific Trust Canterbury,"  6052,"
  CC48159,   ,  Kerikeri,-35.212396,173.96543,  Northern Community Family Service,"  215955,"
  CC48148,  Wellington Central,  Wellington,-41.286417,174.781953,  Ray Watts Charitable Trust,"  8097,"
  CC48193,   ,  Auckland,-36.905451,174.672404,  Fair Wind Foundation,"  13744,"
  CC48414,  Saint Andrews,  Hamilton,-37.751486,175.260878,  Ryder-Cheshire Foundation Waikato,"  0,"
  CC48337,  Glen Eden,  Auckland,-36.912376,174.654167,  Glen Eden Community and Recreation Centre Incorporated,"  1479,"
  CC51337,  Whanganui East,  Whanganui,-39.915117,175.063479,  Ohotu 1C1 Matahiwi Marae Trustees,"  183396,"
  CC48323,  Takapuna,  Auckland,-36.786134,174.772268,  Intercp NZ,"  56549,"
  CC49075,  Hamilton Central,  Hamilton,-37.790026,175.285381,  Creative Waikato,"  0,"
  CC48013,  Albany,  Auckland,-36.723353,174.701475,  Auckland Trinity Church ,"  6010,"
  CC49392,  Maeroa,  Hamilton,-37.771428,175.266497,  Beerescourt Tennis Club Incorporated,"  14809,"
  CC48280,   ,  Raetihi,-39.428388,175.278149,  Waimarino Rest Home Trust Board,"  105126,"
  CC48160,  Favona,  Auckland,-36.953449,174.806211,  Cook Islands Cultural Family Support Services,"  117,"
  CC48413,  Grey Lynn,  Auckland,-36.860096,174.736236,  Tiger Charitable Trust,"  19900,"
  CC49668,  Tawa,  Wellington,-41.179992,174.81953,  Carey Trust 2012,"  17249,"
  CC48964,  Birkdale,  Auckland,-36.905451,174.672404,  Choices For Kenya Charitable Trust,"  0,"
  CC48260,   ,  Tauranga,-37.671696,176.139348,  Hosea Charitable Trust,"  0,"
  CC48663,  Epsom,  Auckland,-36.887844,174.774884,  Help4Living Foundation,"  3605,"
  CC48299,  Auckland Central,  Auckland,-36.846877,174.76651,  Rei Foundation Limited,"  782523,"
  CC48429,  Takapuna,  Auckland,-36.786134,174.772268,  Catalyst Microfranchising,"  1198144,"
  CC48972,   ,  Palmerston North,-40.362727,175.626441,  Kiwitea Water Scheme Trust,"  562,"
  CC48314,  Tauranga South,  Tauranga,-37.710698,176.150299,  New Zealand Sikh Community Tauranga Trust,"  0,"
  CC48420,  null,  Chatham Islands,-44.078394,-176.323375,  The Pitt Island Barge Society,"  16335,"
  CC48100,   ,  Auckland,-36.905451,174.672404,  Pilgrim Baptist Church,"  7487760,"
  CC48040,  Wigram,  Christchurch,-43.547045,172.547405,  Harvest Seminary Christchurch Trust,"  28317,"
  CC48534,  Stokes Valley,  Lower Hutt,-41.172291,174.981458,  Shekinah Tabernacle,"  2231,"
  CC48754,  Ebdentown,  Upper Hutt,-41.117822,175.071708,  Abbat Trust,"  171022,"
  CC48403,   ,  Whakatane,-37.958777,176.978597,  Rising Fast Trust,"  1505,"
  CC48357,  Oamaru North,  Oamaru,-45.091321,170.971444,  Naseby Development Charitable Trust,"  1003,"
  CC48815,   ,  Hawera,-39.586206,174.281201,  Mount Egmont Alpine Club Incorporated,"  10414,"
  CC48962,  Kohimarama,  Auckland,-36.851196,174.845489,  The Fathers Who Dare Win Charitable Trust ,"  1714,"
  CC48457,  Tauranga,  Tauranga,-37.671696,176.139348,  New Nation Tauranga Trust,"  14755,"
  CC48404,  Flat Bush,  Auckland,-36.962284,174.924335,   Korean Positive Ageing Charitable Trust,"  145175,"
  CC48242,  Kenepuru,  Porirua,-41.121272,174.874031,  Asert-Tatou Development Trust,"  0,"
  CC48073,  Omanawa,  Tauranga,-37.671696,176.139348,  Stepping Stone Ministries Trust,"  388,"
  CC48555,  CBD,  Auckland,-36.905451,174.672404,  Ross Charitable Trust,"  766,"
  CC48300,  Bryndwr,  Christchurch,-43.50117,172.594351,  Port Hills Park Trust Board,"  2056486,"
  CC48184,  Mangere East,  Auckland,-36.968395,174.828603,  SOUTH PACIFIC TRUE BUDDHAS CHARITABLE TRUST BOARD ,"  18515,"
  CC48352,  Bryndwr,  Christchurch,-43.50117,172.594351,  Forward Foundation,"  9946,"
  CC49795,   ,  New Plymouth,-39.060888,174.060195,  Friends of Puke Ariki Incorporated,"  0,"
  CC48050,  Mount Wellington,  Auckland,-36.907936,174.854237,  Youth Spacifik Incorporated,"  443,"
  CC48192,  Miramar,  Wellington,-41.314384,174.820037,  Multiples NZ Incorporated,"  13390,"
  CC48446,  null,  Palmerston North,failed,failed,  The Pamerston North RSA Trust Fund (Inc),"  3740,"
  CC48905,  Waiake,  Auckland,-36.706675,174.742545,  The Auckland Dyspraxia Support Trust,"  285456,"
  CC49619,   ,  Greytown,-41.078732,175.462196,  New Zealand Care Society Incorporated,"  2083,"
  CC48093,  Christchurch Central,  Christchurch,-43.530658,172.633547,  Byte Charitable Trust,"  0,"
  CC48507,  Henderson,  Auckland,-36.877819,174.632171,  Fair Food,"  8752,"
  CC48811,  Fendalton,  Christchurch,-43.519424,172.603643,  Ardour Charitable Trust,"  3200,"
  CC49024,  null,  Gore,failed,failed,  Brydone Historical Trust,"  1418,"
  CC49797,  Titahi Bay,  Porirua,-41.105699,174.836217,  Porirua City Phoenix Rugby League Incorporated,"  149337,"
  CC49567,   ,  Papakura,-37.060701,174.956603,  The New Zealand Catalina Preservation Society Incorporated,"  67836,"
  CC48527,  Takapuna,  Auckland,-36.786134,174.772268,  St Christopher's Trust,"  3171,"
  CC49441,   ,  Timaru,-44.40316,171.238033,  Mountainview Pavilion Incorporated,"  24060,"
  CC48773,   ,  Blenheim,-41.535525,173.959071,  Jack Checkley Charitable Trust,"  670,"
  CC48355,  Gate Pa,  Tauranga,-37.671696,176.139348,  Tautoko Mai Sexual Harm Support Services Trust,"  285529,"
  CC48625,  null,  Whitianga,failed,failed,  Mercury Bay Recreation Trust,"  5576,"
  CC48394,  Lynmore,  Rotorua,-38.162348,176.309509,  Seniornet Rotorua Incorporated,"  0,"
  CC49587,  Papatoetoe,  Auckland,-36.987276,174.845568,  Day By Day Christian Ministries Charitable Trust,"  0,"
  CC48327,  Beach Haven,  Auckland,-36.791673,174.68797,  Heart For Youth Charitable Trust,"  24465,"
  CC48111,   ,  Winton,-46.136721,168.323475,  St. Thomas Aquinas School Parent Teacher Association,"  14013,"
  CC48217,  Riverlea,  Hamilton,-37.771428,175.266497,  Fit Futures Charitable Trust,"  0,"
  CC48131,  Opaheke,  Papakura,-37.060701,174.956603,  Takanini Community Church Property Trust,"  0,"
  CC48216,  Weymouth,  Auckland,-37.043179,174.865667,  The End-Time Messenger Gospel Church Incorporated,"  0,"
  CC48434,   ,  Mount Maunganui,-37.639518,176.187349,  Sydenham Botanic Park Funding Trust,"  0,"
  CC49768,  Epsom,  Papakura,-37.060701,174.956603,  Global Awqaf Research Centre,"  57334,"
  CC50969,  Manukau,  Auckland,-36.99997,174.884971,  Fiji Community Association of Auckland Incorporated,"  2698831,"
  CC48076,   ,  Matamata,-37.807917,175.766935,  Peria Assembly of God Trust Board,"  795,"
  CC48195,  Enner Glynn,  Nelson,-41.275126,173.26119,  U3A Nelson Incorporated,"  0,"
  CC50039,  Christchurch Central,  Christchurch,-43.530658,172.633547,  Tangata Atumotu Trust,"  579,"
  CC48338,   ,  Timaru,-44.40316,171.238033,  Bike And Walk South Canterbury Trust,"  5097,"
  CC49646,   ,  Riverton,failed,failed,  Oraka Aparima Runaka Holdings Limited,"  0,"
  CC48240,  null,  Paihia,failed,failed,  Te Peiwhairangi Charitable Trust,"  391,"
  CC48153,  Manukau,  Auckland,-36.99997,174.884971,  Chinese Christian Mission NZ Trust,"  0,"
  CC49122,  Panmure,  Auckland,-36.899505,174.855899,  Auckland Tuhoe Society Incorporated,"  91698,"
  CC48401,  Flat Bush,  Auckland,-36.962284,174.924335,  Word Of Truth Ministries ,"  191225,"
  CC48566,  Whitby,  Porirua,-41.107638,174.904835,  Porirua Vikings Rugby League Community Club Incorporated,"  262,"
  CC48254,  Newmarket,  Auckland,-36.868318,174.776811,  NPH New Zealand Charitable Trust Board,"  0,"
  CC48263,  port nelson,  nelson,-41.263231,173.275897,  Nelson Surf Life Saving Club Incorporated,"  9384,"
  CC48379,  Mount Victoria,  Wellington,-41.297193,174.786965,  Conversations,"  564440,"
  CC48239,   ,  Cromwell,-45.046296,169.208747,  Cromwell Bike Park Incorporated,"  233523,"
  CC48365,  Waipahihi,  Taupo,-38.689766,176.087759,  Heal Christchurch Trust,"  4646,"
  CC48230,  Riccarton,  Christchurch,-43.528916,172.599093,  Life In Vacant Spaces Charitable Trust,"  4794,"
  CC48695,  Awapuni,  Palmerston North,-40.382751,175.582342,  Kia Ora FM 89.8 Trust,"  10746,"
  CC49126,   ,  Orewa,-36.58867,174.688468,  Hibiscus Coast Orchid Society,"  7267,"
  CC48744,   ,  Whakatane,-37.958777,176.978597,  Nga Tohunga o Te Moana a Toi,"  8007,"
  CC48245,   ,  Kamo,failed,failed,  The Hub Whangarei,"  376355,"
  CC48026,  Manukau,  Auckland,-36.99997,174.884971,  Adullam Humanitarian Aid Trust,"  15650,"
  CC49100,  Mangere East,  Auckland,-36.968395,174.828603,  IN-AWE: Innovation Network Aspiring Women Entrepreneurs,"  1697190,"
  CC48180,  Mairangi Bay,  Auckland,-36.738884,174.755859,  St John's School Parent Teacher & Friends Association,"  7084,"
  CC48759,  Newmarket,  Auckland,-36.868318,174.776811,  Asian Women and Family Trust,"  21361,"
  CC48266,  Johnsonville,  Wellington,-41.222691,174.804139,  The Wellington Wander Search Charitable Trust,"  0,"
  CC48368,  Wellington,  null,-41.287996,174.764739,  Environmental & Energy Services New Zealand Trust,"  0,"
  CC48038,   ,  Queenstown,-45.031818,168.667827,  Remarkable Theatre Incorporated,"  704651,"
  CC49332,  Wellington Central,  Wellington,-41.286417,174.781953,  Maori Women's Development Incorporated,"  3431,"
  CC49153,  Parnell,  Auckland,-36.855192,174.782944,  LEARNING ENVIRONMENTS NEW ZEALAND,"  73,"
  CC48331,  Manukau,  Auckland,-36.99997,174.884971,  Lightstream International Trust,"  4028,"
  CC50410,  Waimana,  Whakatane,-37.958777,176.978597,  Raroa Marae Trust,"  30364,"
  CC48277,  Mount Roskill,  Auckland,-36.905534,174.742405,  Marshall Laing Music School Charitable Trust,"  78718,"
  CC48353,  Invercargill,  Invercargill,-46.406304,168.368637,  Rotary Club Of Invercargill South Inc Charitable Trust,"  12426,"
  CC48454,   ,  Oamaru,-45.081334,170.978777,  St Kevin's College Home And School Association,"  21964,"
  CC48732,  Cashmere,  Christchurch,-43.575935,172.631482,  Landsdowne Community Centre Incorporated,"  26370,"
  CC48370,  Gate Pa,  Tauranga,-37.671696,176.139348,  The Swedish School Association in the Bay of Plenty,"  7038,"
  CC48117,  Totara Vale,  Auckland,-36.905451,174.672404,  Christ's Commission Fellowship New Zealand Trust,"  4311,"
  CC49010,  Mangakakahi,  Rotorua,-38.145007,176.223432,  Rotorua Pacific Islands Development Charitable Trust,"  418257,"
  CC48265,  Albert Town,  Wanaka,-44.676512,169.133045,  Hawea Food Forest,"  71423,"
  CC48690,   ,  Picton,-41.285898,174.017775,  Conservation Kids NZ,"  13029,"
  CC48278,  Pakuranga,  Auckland,-36.923398,174.898094,  Auckland Afrikaans Community Church,"  92840,"
  CC48279,   ,  Nelson,-41.275126,173.26119,  Marjorie Nightingale Singing Scholarship,"  82633,"
  CC48515,  Auckland Central,  Auckland,-36.846877,174.76651,  Southern Cross Hospitals Palmerston North Partnership Limited,"  1349,"
  CC48564,  Auckland Central,  Auckland,-36.846877,174.76651,  Circability Trust,"  907149,"
  CC48867,  Hokowhitu,  Palmerston North,-40.365293,175.630714,  FEDERATION DES ALLIANCES FRANCAISES DE NOUVELLE-ZELANDE INCORPORATED,"  238740,"
  CC48281,  Mount Roskill,  Auckland,-36.905534,174.742405,  Family Builders International,"  375089,"
  CC48235,  R D 1,  Cambridge,43.422048,-80.32716,  Goodwood School Parent Teacher Association,"  4569,"
  CC49190,   ,  Taumarunui,-38.883677,175.295835,  Nga Hau E Wha Maara Kai Charitable Trust,"  0,"
  CC48802,   ,  Rangiora,-43.300567,172.583392,  WOOMB NZ Charitable Trust,"  1802,"
  CC49013,  Yaldhurst,  Christchurch,-43.517364,172.610876,  Yaldhurst Tennis Club Incorporated,"  8779,"
  CC49693,  Northcote,  Auckland,-36.80014,174.745727,  New Zealand Infant and Toddler Consortium,"  3764,"
  CC48677,  Hamilton ,3244,-37.778269,175.289578,  Waikato Ethnic Family Services Trust,"  0,"
  CC48317,  Rarangi,  Blenheim,-41.535525,173.959071,  Rarangi Surf Life Saving Club Incorporated,"  1900,"
  CC48779,  Mount Eden,  Auckland,-36.878716,174.763564,  Climax 1650 Steam Trust Board,"  46691,"
  CC48490,  Tauranga South,  Tauranga,-37.710698,176.150299,  New Zealand Secondary Schools Athletic Association Incorporated,"  51460,"
  CC49307,   ,  Rotorua,-38.145007,176.223432,  Te Runanga o Ngati Kea Ngati Tuara Charitable Trust,"  0,"
  CC48707,  Auckland Central,  Auckland,-36.846877,174.76651,  The Good Shepherd New Zealand Trust,"  260670,"
  CC48632,   ,  Wellington,-41.281385,175.32902,  Civic Property Pool,"  423660,"
  CC48734,  Georgetown,  Invercargill,-46.417575,168.363363,  Children's Art Experience! Trust,"  40049,"
  CC48451,  Newmarket,  Auckland,-36.868318,174.776811,  Safer NZ Trust,"  0,"
  CC48305,   ,  Martinborough,-41.218723,175.462238,  Martinborough Colonial Museum Trust,"  18891,"
  CC48358,  Wellington Central,  Wellington,-41.286417,174.781953,  Tax Policy Charitable Trust,"  1433,"
  CC48774,   ,  Leeston,-43.758747,172.29948,  Ellesmere Heritage Park Trust,"  1963,"
  CC48582,  Mangere,  Auckland,-36.974611,174.808045,  Angel Teen Ministries,"  47,"
  CC49183,   ,  Ashhurst,-40.287012,175.75422,  Pohangina Ashhurst Community Trust,"  4057,"
  CC48563,   ,  Mount Maunganui,-37.639518,176.187349,  Mauao Performing Arts Centre Charitable Trust,"  1298,"
  CC48243,   ,  Invercargill,-46.406304,168.368637,  Rimu Home and School Committee,"  488,"
  CC48603,  Orakei,  Auckland,-36.858044,174.815568,  Komiti Marae Orakei Trust,"  417447,"
  CC48489,   ,  Methven,-43.633361,171.642762,  Methven Netball Club Incorporated,"  5040,"
  CC48330,  null,  Masterton,failed,failed,  Schools Amalgamated Forest Trust,"  27765,"
  CC48933,   ,  Timaru,-44.40316,171.238033,  South Canterbury Highland Pipe Band,"  675,"
  CC48320,  Otumoetai,  Tauranga,-37.671696,176.139348,  Shining Lights Trust Board,"  0,"
  CC48660,  Meeanee,  Napier,-39.543525,176.890944,  King's AFCARE and Holiday Program Trust,"  3145,"
  CC48778,   ,  Lawrence,failed,failed,  Tuapeka Aquatic Centre Incorporated,"  7140,"
  CC48185,  Kenepuru,  Porirua,-41.121272,174.874031,  Mana Recovery Trust,"  135266,"
  CC51008,  null,  Auckland,failed,failed,  Pasadena Centre Society Incorporated,"  0,"
  CC48449,  North East Valley,  Dunedin,-45.849703,170.530995,  The Breast Room In The House,"  1869,"
  CC48328,  Manukau,  Auckland,-36.99997,174.884971,  Arrow Leadership NZ Trust,"  9951,"
  CC48304,  Fendalton,  Christchurch,-43.519424,172.603643,  St Barnabas Fendalton Trust,"  0,"
  CC48347,  Hoon Hay,  Christchurch,-43.562944,172.606625,  U3A Port Hills Incorporated,"  4500,"
  CC48445,   ,  Wellsford,-36.300309,174.523356,  Arborfield Sanctuary Charitable Trust,"  2308,"
  CC48407,  Auckland Central,  Auckland,-36.846877,174.76651,  Community Education Trust Auckland,"  49136,"
  CC48782,  null,  Owaka,failed,failed,  The Tahakopa Kakariki Protection and Enhancement Trust,"  0,"
  CC49386,  Hokowhitu,  Palmerston North,-40.365293,175.630714,  Historic Places Manawatu-Horowhenua Incorporated,"  0,"
  CC49817,  Moera,  Lower Hutt,-41.227685,174.903116,  Muturangi Hauora Marae Trust 2006,"  169735,"
  CC48871,  Riccarton,  Christchurch,-43.528916,172.599093,  The Korean Helpline,"  7733,"
  CC48233,  Sockburn,  Christchurch,-43.532385,172.552447,  Our Lady Of Victories School Parents and Friends Association,"  5258,"
  CC48546,   ,  Te Kao,failed,failed,  Te Hiku O Te Ika Marae,"  9055,"
  CC50032,   ,  Lower Hutt,-41.213341,174.92975,  ProCare Charitable Foundation,"  4349,"
  CC49379,   ,  Auckland,-36.905451,174.672404,  Whitford Forrest Archers Incorporated,"  44570,"
  CC48366,   ,  Auckland,-36.905451,174.672404,  Jesus Calls New Zealand Trust,"  24276,"
  CC48667,  Kilbirnie,  Wellington,-41.316159,174.79542,  The New Zealand - Viet Nam Health Trust,"  0,"
  CC48447,  Roslyn,  Palmerston North,-40.336689,175.630232,  The Tuturu Rehabilitation Charitable Trust,"  6460,"
  CC48823,  Waikawa,  Picton,-34.178405,150.613575,  Waikawa Marae,"  18903,"
  CC49325,  Stoke,  Nelson,-41.275126,173.26119,  Stoke Playgroup Incorporated,"  42443,"
  CC48674,  Parkvale,  Tauranga,-37.724168,176.1446,  Te Tawharau o te Ora,"  3980,"
  CC48623,  Remuera,  Auckland,-36.873174,174.799015,  The Cathedral Music Foundation Charitable Trust,"  0,"
  CC51051,   ,  Orewa,-36.58867,174.688468,  The Lions Clubs New Zealand Charitable Trust,"  0,"
  CC48182,  null,  Hamilton,failed,failed,  Rukuhia School PTA,"  18539,"
  CC48826,  Blockhouse Bay,  Auckland,-36.920071,174.699908,  The Whau River Catchment Trust,"  3208,"
  CC48715,  null,  Wellsford,failed,failed,  Izard Rodney College Trust,"  17385,"
  CC48628,  Grey Lynn,  Auckland,-36.860096,174.736236,  Legal Information Service (Incorporated),"  0,"
  CC48686,   ,  Geraldine,-44.093925,171.239349,  Geraldine Children Social Work Trust,"  2686,"
  CC48431,   ,  Taupo,-38.689766,176.087759,  Ngati Tahinga Tainui Kaitiaki Charitable Trust,"  2059,"
  CC48853,   ,  Auckland,-36.905451,174.672404,  Auckland Basketball Services Limited,"  40,"
  CC48496,  Mount Albert,  Auckland,-36.882768,174.716951,  A Reason to S.M.I.L.E Charitable Trust,"  4554,"
  CC48359,  Papatoetoe,  Auckland,-36.987276,174.845568,  Auckland Kids Achievement Trust,"  8486,"
  CC48854,  Bellevue,  Tauranga,-37.671696,176.139348,  Ocean Rowing for Cancer Charitable Trust,"  0,"
  CC48576,   ,  Wanaka,-44.676512,169.133045,  Aspiring Foundation Trust Board,"  21987,"
  CC48803,  Fordlands,  Rotorua,-38.145007,176.223432,  Spiritual Empowerment Trust,"  20969,"
  CC48417,  null,  Kerikeri,failed,failed,  Bay Of Islands Amateur Radio Club Incorporated,"  43926,"
  CC48528,  Mairangi Bay,  Auckland,-36.738884,174.755859,  Family Tranformation NZ Charitable Trust,"  0,"
  CC48771,   ,  Nelson,-41.275126,173.26119,  The Shortbread Trust,"  46827,"
  CC48508,   ,  Lower Hutt,-41.213341,174.92975,  Hutt Safe City Group Charitable Trust,"  0,"
  CC48419,   ,  Ruakaka,-35.886565,174.452295,  Bream Bay Community Support Trust,"  2880,"
  CC48369,  Browns Bay,  Auckland,-36.714101,174.742304,  Mothers Helpers,"  0,"
  CC48551,  Te Aro,  Wellington,-41.291691,174.778485,  Holocaust Centre Of New Zealand Incorporated,"  258,"
  CC49037,  Albert Town,  Wanaka,-44.676512,169.133045,  Mini Muscles,"  0,"
  CC49167,  East Tamaki,  Auckland,-36.952683,174.883415,  Hope To All Nations,"  162,"
  CC48532,  null,  Te Awamutu,failed,failed,  New Zealand Concert Band Association Incorporated,"  40620,"
  CC48307,  Chartwell,  Hamilton,-37.771428,175.266497,  ACK WAIKATO CHURCH TRUST,"  2076,"
  CC48371,   ,  Feilding,-40.228537,175.576724,  Emmanuels Mission Trust,"  134994,"
  CC48488,  Raumati Beach,  Paraparaumu,-40.913139,174.980863,  Kapiti Chamber Choir Incorporated,"  0,"
  CC48440,   ,  Matata,-37.890953,176.757411,  Te Mana O Ngati Rangitihi Charitable Trust,"  0,"
  CC49407,  Burnside,  Christchurch,-43.497991,172.569812,  Cobham Intermediate Parent Teacher Association Incorporated,"  0,"
  CC48373,  Ellerslie,  Auckland,-36.897601,174.809993,  Ellerslie Community Patrol Charitable Trust,"  450,"
  CC48399,  null,  Oxford,failed,failed,  Project Planet Aotearoa,"  9346,"
  CC48712,  New Lynn,  Auckland,-36.908656,174.683636,  Papa Ole Fa'Aolataga Trust Board,"  0,"
  CC48396,   ,  Inglewood,-39.156332,174.203382,  Jackson West Little Fighters Charitable Trust,"  1547,"
  CC49068,  Richmond,  Christchurch,-43.517364,172.610876,  Edgeware Village Green Incorporated,"  5583,"
  CC48458,  Glenfield,  Auckland,-36.787186,174.700236,  Kaipatiki Youth Development Trust,"  0,"
  CC48606,  Ngaio,  Wellington,-41.249012,174.777452,  Ngaio School Parent Teacher Association,"  2372,"
  CC48261,  Papanui,  Christchurch,-43.496071,172.613381,  The Methodist Church Of New Zealand Te Haahi Weteriana O Aotearoa Christchurch Central Parish - Parish ,"  29983,"
  CC48398,  Hillcrest,  Auckland,-36.790111,174.735962,  The Beautiful Methodist Church,"  261027,"
  CC48556,   ,  Te Puke,-37.789006,176.323555,  Maketu Ongatoro Wetlands Society Incorporated,"  1108,"
  CC49876,  RD3 Kaikohe,  Northland,-35.405898,173.8,  Te Puna Oranga O Hokianga,"  1358,"
  CC49850,  Christchurch Central,  Christchurch,-43.530658,172.633547,  The Opera Club Trust,"  1030,"
  CC48718,  St Albans,  Christchurch,-43.517144,172.630162,  City Park Community Patrol Incorporated,"  114794,"
